taxonomy,primary,displayName,level,isBasic,basicCategory
arts_and_entertainment > museum > national_museum,national_museum,National Museum,2,false,museum
arts_and_entertainment > museum > science_museum,science_museum,Science Museum,2,false,museum
arts_and_entertainment > museum > science_museum > computer_museum,computer_museum,Computer Museum,3,false,museum
arts_and_entertainment > museum > sports_museum,sports_museum,Sports Museum,2,false,museum
arts_and_entertainment > museum > state_museum,state_museum,State Museum,2,false,museum
arts_and_entertainment > nightlife_venue,nightlife_venue,Nightlife Venue,1,true,nightlife_venue
arts_and_entertainment > nightlife_venue > adult_entertainment_venue,adult_entertainment_venue,Adult Entertainment Venue,2,true,adult_entertainment_venue
arts_and_entertainment > nightlife_venue > adult_entertainment_venue > erotic_massage_venue,erotic_massage_venue,Erotic Massage Venue,3,false,adult_entertainment_venue
arts_and_entertainment > nightlife_venue > adult_entertainment_venue > strip_club,strip_club,Strip Club,3,false,adult_entertainment_venue
arts_and_entertainment > nightlife_venue > bar_crawl,bar_crawl,Bar Crawl,2,false,nightlife_venue
arts_and_entertainment > nightlife_venue > club_crawl,club_crawl,Club Crawl,2,false,nightlife_venue
arts_and_entertainment > nightlife_venue > dance_club,dance_club,Dance Club,2,true,dance_club
arts_and_entertainment > nightlife_venue > dance_club > salsa_club,salsa_club,Salsa Club,3,false,dance_club
arts_and_entertainment > performing_arts_venue,performing_arts_venue,Performing Arts Venue,1,true,performing_arts_venue
arts_and_entertainment > performing_arts_venue > amphitheater,amphitheater,Amphitheater,2,false,performing_arts_venue
arts_and_entertainment > performing_arts_venue > cabaret,cabaret,Cabaret,2,false,performing_arts_venue
arts_and_entertainment > performing_arts_venue > comedy_club,comedy_club,Comedy Club,2,true,comedy_club
arts_and_entertainment > performing_arts_venue > music_venue,music_venue,Music Venue,2,true,music_venue
arts_and_entertainment > performing_arts_venue > music_venue > band_orchestra_symphony,band_orchestra_symphony,Band Orchestra Symphony,3,false,music_venue
arts_and_entertainment > performing_arts_venue > music_venue > choir,choir,Choir,3,false,music_venue
arts_and_entertainment > performing_arts_venue > music_venue > jazz_and_blues_venue,jazz_and_blues_venue,Jazz and Blues Venue,3,false,music_venue
arts_and_entertainment > performing_arts_venue > music_venue > karaoke_venue,karaoke_venue,Karaoke Venue,3,false,music_venue
arts_and_entertainment > performing_arts_venue > music_venue > opera_and_ballet,opera_and_ballet,Opera and Ballet,3,false,music_venue
arts_and_entertainment > performing_arts_venue > theatre_venue,theatre_venue,Theatre Venue,2,true,theatre_venue
arts_and_entertainment > performing_arts_venue > theatre_venue > dinner_theater,dinner_theater,Dinner Theater,3,false,theatre_venue
arts_and_entertainment > rural_attraction,rural_attraction,Rural Attraction,1,true,rural_attraction
arts_and_entertainment > rural_attraction > attraction_farm,attraction_farm,Attraction Farm,2,false,rural_attraction
arts_and_entertainment > rural_attraction > corn_maze,corn_maze,Corn Maze,2,false,rural_attraction
arts_and_entertainment > rural_attraction > country_dance_hall,country_dance_hall,Country Dance Hall,2,false,rural_attraction
arts_and_entertainment > rural_attraction > pumpkin_patch,pumpkin_patch,Pumpkin Patch,2,false,rural_attraction
arts_and_entertainment > rural_attraction > rodeo,rodeo,Rodeo,2,true,rodeo
arts_and_entertainment > science_attraction,science_attraction,Science Attraction,1,true,science_attraction
arts_and_entertainment > science_attraction > makerspace,makerspace,Makerspace,2,true,makerspace
arts_and_entertainment > science_attraction > observatory,observatory,Observatory,2,false,science_attraction
arts_and_entertainment > science_attraction > planetarium,planetarium,Planetarium,2,true,planetarium
arts_and_entertainment > science_attraction > virtual_reality_center,virtual_reality_center,Virtual Reality Center,2,false,science_attraction
arts_and_entertainment > science_attraction > virtual_reality_center > vr_cafe,vr_cafe,VR Cafe,3,false,science_attraction
arts_and_entertainment > social_club,social_club,Social Club,1,true,social_club
arts_and_entertainment > social_club > country_club,country_club,Country Club,2,true,country_club
arts_and_entertainment > social_club > fraternal_organization,fraternal_organization,Fraternal Organization,2,false,social_club
arts_and_entertainment > social_club > veterans_organization,veterans_organization,Veterans Organization,2,false,social_club
arts_and_entertainment > spiritual_advising,spiritual_advising,Spiritual Advising,1,true,spiritual_advising
arts_and_entertainment > spiritual_advising > astrological_advising,astrological_advising,Astrological Advising,2,true,astrological_advising
arts_and_entertainment > spiritual_advising > fortune_telling,fortune_telling,Fortune Telling,2,false,spiritual_advising
arts_and_entertainment > spiritual_advising > psychic_advising,psychic_advising,Psychic Advising,2,true,psychic_advising
arts_and_entertainment > stadium_arena,stadium_arena,Stadium Arena,1,true,stadium_arena
arts_and_entertainment > stadium_arena > arena,arena,Arena,2,false,stadium_arena
arts_and_entertainment > stadium_arena > stadium,stadium,Stadium,2,false,stadium_arena
arts_and_entertainment > stadium_arena > stadium > baseball_stadium,baseball_stadium,Baseball Stadium,3,false,stadium_arena
arts_and_entertainment > stadium_arena > stadium > basketball_stadium,basketball_stadium,Basketball Stadium,3,false,stadium_arena
arts_and_entertainment > stadium_arena > stadium > cricket_ground,cricket_ground,Cricket Ground,3,false,stadium_arena
arts_and_entertainment > stadium_arena > stadium > football_stadium,football_stadium,Football Stadium,3,false,stadium_arena
