basic_category,display_name,path,level,group,count
place_of_worship,Place of Worship,cultural_and_historic > place_of_worship,1,cultural_and_historic,
buddhist_place_of_worship,Buddhist Place of Worship,cultural_and_historic > place_of_worship > buddhist_place_of_worship,2,cultural_and_historic,
christian_place_of_worship,Christian Place of Worship,cultural_and_historic > place_of_worship > christian_place_of_worship,2,cultural_and_historic,
hindu_place_of_worship,Hindu Place of Worship,cultural_and_historic > place_of_worship > hindu_place_of_worship,2,cultural_and_historic,
jewish_place_of_worship,Jewish Place of Worship,cultural_and_historic > place_of_worship > jewish_place_of_worship,2,cultural_and_historic,
muslim_place_of_worship,Muslim Place of Worship,cultural_and_historic > place_of_worship > muslim_place_of_worship,2,cultural_and_historic,
religious_landmark,Religious Landmark,cultural_and_historic > religious_landmark,1,cultural_and_historic,
religious_organization,Religious Organization,cultural_and_historic > religious_organization,1,cultural_and_historic,
religious_retreat_or_center,Religious Retreat or Center,cultural_and_historic > religious_retreat_or_center,1,cultural_and_historic,
education,Education,education,0,education,
education_office,Education Office,education > education_office,1,education,
school_district_office,School District Office,education > education_office > school_district_office,2,education,
educational_facility,Educational Facility,education > educational_facility,1,education,
campus,Campus,education > educational_facility > campus,2,education,
campus_building,Campus Building,education > educational_facility > campus_building,2,education,
educational_service,Educational Service,education > educational_service,1,education,
tutoring_service,Tutoring Service,education > educational_service > tutoring_service,2,education,
library,Library,education > library,1,education,
place_of_learning,Place of Learning,education > place_of_learning,1,education,
academy,Academy,education > place_of_learning > academy,2,education,
class_venue,Class Venue,education > place_of_learning > class_venue,2,education,
college_university,College University,education > place_of_learning > college_university,2,education,
elementary_school,Elementary School,education > place_of_learning > school > elementary_school,3,education,
high_school,High School,education > place_of_learning > school > high_school,3,education,
kindergarten,Kindergarten,education > place_of_learning > school > kindergarten,3,education,
middle_school,Middle School,education > place_of_learning > school > middle_school,3,education,
preschool,Preschool,education > place_of_learning > school > preschool,3,education,
specialty_school,Specialty School,education > place_of_learning > specialty_school,2,education,
research_institute,Research Institute,education > research_institute,1,education,
food_and_drink,Food and Drink,food_and_drink,0,food_and_drink,
alcoholic_beverage_venue,Alcoholic Beverage Venue,food_and_drink > alcoholic_beverage_venue,1,food_and_drink,
bar,Bar,food_and_drink > alcoholic_beverage_venue > bar,2,food_and_drink,
brewery,Brewery,food_and_drink > alcoholic_beverage_venue > brewery,2,food_and_drink,
distillery,Distillery,food_and_drink > alcoholic_beverage_venue > distillery,2,food_and_drink,
lounge,Lounge,food_and_drink > alcoholic_beverage_venue > lounge,2,food_and_drink,
winery,Winery,food_and_drink > alcoholic_beverage_venue > winery,2,food_and_drink,
casual_eatery,Casual Eatery,food_and_drink > casual_eatery,1,food_and_drink,
cafe,Cafe,food_and_drink > casual_eatery > cafe,2,food_and_drink,
fast_food_restaurant,Fast Food Restaurant,food_and_drink > casual_eatery > fast_food_restaurant,2,food_and_drink,
food_court,Food Court,food_and_drink > casual_eatery > food_court,2,food_and_drink,
food_truck_stand,Food Truck or Stand,food_and_drink > casual_eatery > food_truck_stand,2,food_and_drink,
non_alcoholic_beverage_venue,Non-Alcoholic Beverage Venue,food_and_drink > non_alcoholic_beverage_venue,1,food_and_drink,
coffee_shop,Coffee Shop,food_and_drink > non_alcoholic_beverage_venue > coffee_shop,2,food_and_drink,
smoothie_juice_bar,Smoothie or Juice Bar,food_and_drink > non_alcoholic_beverage_venue > smoothie_juice_bar,2,food_and_drink,
restaurant,Restaurant,food_and_drink > restaurant,1,food_and_drink,
geographic_entities,Geographic Entities,geographic_entities,0,geographic_entities,
built_feature,Built Feature,geographic_entities > built_feature,1,geographic_entities,
bridge,Bridge,geographic_entities > built_feature > bridge,2,geographic_entities,
building,Building,geographic_entities > built_feature > building,2,geographic_entities,
dam,Dam,geographic_entities > built_feature > dam,2,geographic_entities,
dock,Dock,geographic_entities > built_feature > dock,2,geographic_entities,
garden,Garden,geographic_entities > built_feature > garden,2,geographic_entities,
marina,Marina,geographic_entities > built_feature > marina,2,geographic_entities,
pier,Pier,geographic_entities > built_feature > pier,2,geographic_entities,
land_feature,Land Feature,geographic_entities > land_feature,1,geographic_entities,
beach,Beach,geographic_entities > land_feature > beach,2,geographic_entities,
canyon,Canyon,geographic_entities > land_feature > canyon,2,geographic_entities,
forest,Forest,geographic_entities > land_feature > forest,2,geographic_entities,
hill,Hill,geographic_entities > land_feature > hill,2,geographic_entities,
island,Island,geographic_entities > land_feature > island,2,geographic_entities,
mountain,Mountain,geographic_entities > land_feature > mountain,2,geographic_entities,
nature_reserve,Nature Reserve,geographic_entities > land_feature > nature_reserve,2,geographic_entities,
valley,Valley,geographic_entities > land_feature > valley,2,geographic_entities,
scenic_viewpoint,Scenic Viewpoint,geographic_entities > scenic_viewpoint,1,geographic_entities,
water_feature,Water Feature,geographic_entities > water_feature,1,geographic_entities,
canal,Canal,geographic_entities > water_feature > canal,2,geographic_entities,
hot_springs,Hot Springs,geographic_entities > water_feature > hot_springs,2,geographic_entities,
lake,Lake,geographic_entities > water_feature > lake,2,geographic_entities,
ocean,Ocean,geographic_entities > water_feature > ocean,2,geographic_entities,
river,River,geographic_entities > water_feature > river,2,geographic_entities,
sea,Sea,geographic_entities > water_feature > sea,2,geographic_entities,
waterfall,Waterfall,geographic_entities > water_feature > waterfall,2,geographic_entities,
health_care,Health Care,health_care,0,health_care,
emergency_or_urgent_care_facility,Emergency or Urgent Care Facility,health_care > emergency_or_urgent_care_facility,1,health_care,
emergency_department,Emergency Department,health_care > emergency_or_urgent_care_facility > emergency_department,2,health_care,
urgent_care_clinic,Urgent Care Clinic,health_care > emergency_or_urgent_care_facility > urgent_care_clinic,2,health_care,
walk_in_clinic,Walk-In Clinic,health_care > emergency_or_urgent_care_facility > walk_in_clinic,2,health_care,
hospital,Hospital,health_care > hospital,1,health_care,
general_hospital,General Hospital,health_care > hospital > general_hospital,2,health_care,
specialty_hospital,Specialty Hospital,health_care > hospital > specialty_hospital,2,health_care,
medical_service,Medical Service,health_care > medical_service,1,health_care,
outpatient_care_facility,Outpatient Care Facility,health_care > outpatient_care_facility,1,health_care,
behavioral_or_mental_health_clinic,Behavioral or Mental Health Clinic,health_care > outpatient_care_facility > behavioral_or_mental_health_clinic,2,health_care,
complementary_and_alternative_medicine,Complementary and Alternative Medicine,health_care > outpatient_care_facility > complementary_and_alternative_medicine,2,health_care,
dental_clinic,Dental Clinic,health_care > outpatient_care_facility > dental_clinic,2,health_care,
diagnostics_imaging_or_lab_service,Diagnostics Imaging or Lab Service,health_care > outpatient_care_facility > diagnostics_imaging_or_lab_service,2,health_care,
pediatric_clinic,Pediatric Clinic,health_care > outpatient_care_facility > pediatric_clinic,2,health_care,
physical_medicine_and_rehabilitation,Physical Medicine and Rehabilitation,health_care > outpatient_care_facility > physical_medicine_and_rehabilitation,2,health_care,
primary_care_or_general_clinic,Primary Care or General Clinic,health_care > outpatient_care_facility > primary_care_or_general_clinic,2,health_care,
reproductive_perinatal_and_womens_care,Reproductive Perinatal and Women's Care,health_care > outpatient_care_facility > reproductive_perinatal_and_womens_care,2,health_care,
specialized_health_care,Specialized Health Care,health_care > outpatient_care_facility > specialized_health_care,2,health_care,
vision_or_eye_care_clinic,Vision or Eye Care Clinic,health_care > outpatient_care_facility > vision_or_eye_care_clinic,2,health_care,
specialized_medical_facility,Specialized Medical Facility,health_care > specialized_medical_facility,1,health_care,
surgery,Surgery,health_care > specialized_medical_facility > surgery,2,health_care,
lifestyle_services,Lifestyle Services,lifestyle_services,0,lifestyle_services,
animal_or_pet_service,Animal or Pet Service,lifestyle_services > animal_or_pet_service,1,lifestyle_services,
food_service,Food Service,lifestyle_services > food_service,1,lifestyle_services,
personal_or_beauty_service,Personal or Beauty Service,lifestyle_services > personal_or_beauty_service,1,lifestyle_services,
wellness_service,Wellness Service,lifestyle_services > wellness_service,1,lifestyle_services,
lodging,Lodging,lodging,0,lodging,
bed_and_breakfast,Bed and Breakfast,lodging > bed_and_breakfast,1,lodging,
campground,Campground,lodging > campground,1,lodging,
hotel,Hotel,lodging > hotel,1,lodging,
inn,Inn,lodging > inn,1,lodging,
private_lodging,Private Lodging,lodging > private_lodging,1,lodging,
resort,Resort,lodging > resort,1,lodging,
rv_park,RV Park,lodging > rv_park,1,lodging,
services_and_business,Services and Business,services_and_business,0,services_and_business,
agricultural_service,Agricultural Service,services_and_business > agricultural_service,1,services_and_business,
farm,Farm,services_and_business > agricultural_service > farm,2,services_and_business,
b2b_service,B2B Service,services_and_business > b2b_service,1,services_and_business,
b2b_energy_and_utility_service,B2B Energy and Utility Service,services_and_business > b2b_service > b2b_energy_and_utility_service,2,services_and_business,
b2b_industrial_and_machine_service,B2B Industrial and Machine Service,services_and_business > b2b_service > b2b_industrial_and_machine_service,2,services_and_business,
b2b_office_and_professional_service,B2B Office and Professional Service,services_and_business > b2b_service > b2b_office_and_professional_service,2,services_and_business,
b2b_science_and_technology_service,B2B Science and Technology Service,services_and_business > b2b_service > b2b_science_and_technology_service,2,services_and_business,
b2b_transportation_and_storage_service,B2B Transportation and Storage Service,services_and_business > b2b_service > b2b_transportation_and_storage_service,2,services_and_business,
manufacturer,Manufacturer,services_and_business > b2b_service > manufacturer,2,services_and_business,
supplier_or_distributor,Supplier or Distributor,services_and_business > b2b_service > supplier_or_distributor,2,services_and_business,
wholesaler,Wholesaler,services_and_business > b2b_service > wholesaler,2,services_and_business,
building_or_construction_service,Building or Construction Service,services_and_business > building_or_construction_service,1,services_and_business,
corporate_or_business_office,Corporate or Business Office,services_and_business > corporate_or_business_office,1,services_and_business,
design_service,Design Service,services_and_business > design_service,1,services_and_business,
environmental_or_ecological_service,Environmental or Ecological Service,services_and_business > environmental_or_ecological_service,1,services_and_business,
event_or_party_service,Event or Party Service,services_and_business > event_or_party_service,1,services_and_business,
family_service,Family Service,services_and_business > family_service,1,services_and_business,
financial_service,Financial Service,services_and_business > financial_service,1,services_and_business,
atm,ATM,services_and_business > financial_service > atm,2,services_and_business,
bank_or_credit_union,Bank or Credit Union,services_and_business > financial_service > bank_or_credit_union,2,services_and_business,
home_service,Home Service,services_and_business > home_service,1,services_and_business,
housing_or_property_service,Housing or Property Service,services_and_business > housing_or_property_service,1,services_and_business,
apartment,Apartment,services_and_business > housing_or_property_service > apartment,2,services_and_business,
condominium,Condominium,services_and_business > housing_or_property_service > condominium,2,services_and_business,
senior_living_facility,Senior Living Facility,services_and_business > housing_or_property_service > senior_living_facility,2,services_and_business,
industrial_facility_or_service,Industrial Facility or Service,services_and_business > industrial_facility_or_service,1,services_and_business,
laundry_service,Laundry Service,services_and_business > laundry_service,1,services_and_business,
legal_service,Legal Service,services_and_business > legal_service,1,services_and_business,
attorney_or_law_firm,Attorney or Law Firm,services_and_business > legal_service > attorney_or_law_firm,2,services_and_business,
media_service,Media Service,services_and_business > media_service,1,services_and_business,
radio_station,Radio Station,services_and_business > media_service > media_news_company > radio_station,3,services_and_business,
television_station,Television Station,services_and_business > media_service > media_news_company > television_station,3,services_and_business,
printing_service,Printing Service,services_and_business > printing_service,1,services_and_business,
professional_service,Professional Service,services_and_business > professional_service,1,services_and_business,
real_estate_service,Real Estate Service,services_and_business > real_estate_service,1,services_and_business,
rental_service,Rental Service,services_and_business > rental_service,1,services_and_business,
security_service,Security Service,services_and_business > security_service,1,services_and_business,
shipping_or_delivery_service,Shipping or Delivery Service,services_and_business > shipping_or_delivery_service,1,services_and_business,
storage_facility,Storage Facility,services_and_business > storage_facility,1,services_and_business,
technical_service,Technical Service,services_and_business > technical_service,1,services_and_business,
telecommunications_service,Telecommunications Service,services_and_business > telecommunications_service,1,services_and_business,
utility_energy_infrastructure,Utility Energy Infrastructure,services_and_business > utility_energy_infrastructure,1,services_and_business,
shopping,Shopping,shopping,0,shopping,
convenience_store,Convenience Store,shopping > convenience_store,1,shopping,
department_store,Department Store,shopping > department_store,1,shopping,
discount_store,Discount Store,shopping > discount_store,1,shopping,
fashion_and_apparel_store,Fashion and Apparel Store,shopping > fashion_and_apparel_store,1,shopping,
food_and_beverage_store,Food and Beverage Store,shopping > food_and_beverage_store,1,shopping,
kiosk,Kiosk,shopping > kiosk,1,shopping,
market,Market,shopping > market,1,shopping,
farmers_market,Farmers Market,shopping > market > farmers_market,2,shopping,
second_hand_store,Second Hand Store,shopping > second_hand_store,1,shopping,
shopping_mall,Shopping Mall,shopping > shopping_mall,1,shopping,
shopping_service,Shopping Service,shopping > shopping_service,1,shopping,
specialty_store,Specialty Store,shopping > specialty_store,1,shopping,
animal_and_pet_store,Animal and Pet Store,shopping > specialty_store > animal_and_pet_store,2,shopping,
arts_crafts_and_hobby_store,Arts Crafts and Hobby Store,shopping > specialty_store > arts_crafts_and_hobby_store,2,shopping,
books_music_and_video_store,Books Music and Video Store,shopping > specialty_store > books_music_and_video_store,2,shopping,
electronics_store,Electronics Store,shopping > specialty_store > electronics_store,2,shopping,
flowers_and_gifts_store,Flowers and Gifts Store,shopping > specialty_store > flowers_and_gifts_store,2,shopping,
hardware_home_and_garden_store,Hardware Home and Garden Store,shopping > specialty_store > hardware_home_and_garden_store,2,shopping,
musical_instrument_and_pro_audio_store,Musical Instrument and Pro Audio Store,shopping > specialty_store > musical_instrument_and_pro_audio_store,2,shopping,
office_supply_store,Office Supply Store,shopping > specialty_store > office_supply_store,2,shopping,
personal_care_and_beauty_store,Personal Care and Beauty Store,shopping > specialty_store > personal_care_and_beauty_store,2,shopping,
pharmacy_and_drug_store,Pharmacy and Drug Store,shopping > specialty_store > pharmacy_and_drug_store,2,shopping,
sporting_goods_store,Sporting Goods Store,shopping > specialty_store > sporting_goods_store,2,shopping,
toys_and_games_store,Toys and Games Store,shopping > specialty_store > toys_and_games_store,2,shopping,
vehicle_parts_store,Vehicle Parts Store,shopping > specialty_store > vehicle_parts_store,2,shopping,
superstore,Superstore,shopping > superstore,1,shopping,
vehicle_dealer,Vehicle Dealer,shopping > vehicle_dealer,1,shopping,
auto_dealer,Auto Dealer,shopping > vehicle_dealer > auto_dealer,2,shopping,
warehouse_club_store,Warehouse Club Store,shopping > warehouse_club_store,1,shopping,
sports_and_recreation,Sports and Recreation,sports_and_recreation,0,sports_and_recreation,
park,Park,sports_and_recreation > park,1,sports_and_recreation,
dog_park,Dog Park,sports_and_recreation > park > dog_park,2,sports_and_recreation,
national_park,National Park,sports_and_recreation > park > national_park,2,sports_and_recreation,
playground,Playground,sports_and_recreation > park > playground,2,sports_and_recreation,
recreational_equipment_rental,Recreational Equipment Rental,sports_and_recreation > recreational_equipment_rental,1,sports_and_recreation,
recreational_trail_or_path,Recreational Trail or Path,sports_and_recreation > recreational_trail_or_path,1,sports_and_recreation,
sport_league,Sport League,sports_and_recreation > sport_league,1,sports_and_recreation,
sport_or_fitness_facility,Sport or Fitness Facility,sports_and_recreation > sport_or_fitness_facility,1,sports_and_recreation,
fitness_studio,Fitness Studio,sports_and_recreation > sport_or_fitness_facility > fitness_studio,2,sports_and_recreation,
golf_course,Golf Course,sports_and_recreation > sport_or_fitness_facility > golf_course,2,sports_and_recreation,
gym,Gym,sports_and_recreation > sport_or_fitness_facility > gym,2,sports_and_recreation,
skate_park,Skate Park,sports_and_recreation > sport_or_fitness_facility > skate_park,2,sports_and_recreation,
skating_rink,Skating Rink,sports_and_recreation > sport_or_fitness_facility > skating_rink,2,sports_and_recreation,
sport_court,Sport Court,sports_and_recreation > sport_or_fitness_facility > sport_court,2,sports_and_recreation,
sport_field,Sport Field,sports_and_recreation > sport_or_fitness_facility > sport_field,2,sports_and_recreation,
sports_complex,Sports Complex,sports_and_recreation > sport_or_fitness_facility > sports_complex,2,sports_and_recreation,
swimming_pool,Swimming Pool,sports_and_recreation > sport_or_fitness_facility > swimming_pool,2,sports_and_recreation,
sport_or_recreation_club,Sport or Recreation Club,sports_and_recreation > sport_or_recreation_club,1,sports_and_recreation,
sport_team,Sport Team,sports_and_recreation > sport_team,1,sports_and_recreation,
travel_and_transportation,Travel and Transportation,travel_and_transportation,0,travel_and_transportation,
air_transport_facility_or_service,Air Transport Facility or Service,travel_and_transportation > air_transport_facility_or_service,1,travel_and_transportation,
airport,Airport,travel_and_transportation > air_transport_facility_or_service > airport,2,travel_and_transportation,
fueling_station,Fueling Station,travel_and_transportation > fueling_station,1,travel_and_transportation,
ev_charging_station,EV Charging Station,travel_and_transportation > fueling_station > ev_charging_station,2,travel_and_transportation,
gas_station,Gas Station,travel_and_transportation > fueling_station > gas_station,2,travel_and_transportation,
ground_transport_facility_or_service,Ground Transport Facility or Service,travel_and_transportation > ground_transport_facility_or_service,1,travel_and_transportation,
public_transit_facility_or_service,Public Transit Facility or Service,travel_and_transportation > ground_transport_facility_or_service > public_transit_facility_or_service,2,travel_and_transportation,
rail_facility_or_service,Rail Facility or Service,travel_and_transportation > ground_transport_facility_or_service > rail_facility_or_service,2,travel_and_transportation,
train_station,Train Station,travel_and_transportation > ground_transport_facility_or_service > rail_facility_or_service > train_station,3,travel_and_transportation,
rest_stop,Rest Stop,travel_and_transportation > ground_transport_facility_or_service > road_structures_and_service > rest_stop,3,travel_and_transportation,
toll_station,Toll Station,travel_and_transportation > ground_transport_facility_or_service > road_structures_and_service > toll_station,3,travel_and_transportation,
taxi_or_ride_share_service,Taxi or Ride Share Service,travel_and_transportation > ground_transport_facility_or_service > taxi_or_ride_share_service,2,travel_and_transportation,
parking,Parking,travel_and_transportation > parking,1,travel_and_transportation,
park_and_ride,Park and Ride,travel_and_transportation > parking > park_and_ride,2,travel_and_transportation,
parking_garage,Parking Garage,travel_and_transportation > parking > parking_garage,2,travel_and_transportation,
parking_lot,Parking Lot,travel_and_transportation > parking > parking_lot,2,travel_and_transportation,
travel_service,Travel Service,travel_and_transportation > travel_service,1,travel_and_transportation,
vehicle_service,Vehicle Service,travel_and_transportation > vehicle_service,1,travel_and_transportation,
automotive_service,Automotive Service,travel_and_transportation > vehicle_service > automotive_service,2,travel_and_transportation,
water_transport_facility_or_service,Water Transport Facility or Service,travel_and_transportation > water_transport_facility_or_service,1,travel_and_transportation,
ferry_service,Ferry Service,travel_and_transportation > water_transport_facility_or_service > ferry_service,2,travel_and_transportation,
water_taxi_service,Water Taxi Service,travel_and_transportation > water_transport_facility_or_service > water_taxi_service,2,travel_and_transportation,
