legacy_primary_category,taxonomy_primary,taxonomy_hierarchy,taxonomy_display_name
3d_printing_service,3d_printing_service,services_and_business > printing_service > 3d_printing_service,3d Printing Service
abortion_clinic,abortion_clinic,health_care > specialized_medical_facility > abortion_clinic,Abortion Clinic
abrasives_supplier,abrasives_supplier,services_and_business > b2b_service > supplier_or_distributor > abrasives_supplier,Abrasives Supplier
abuse_and_addiction_treatment,abuse_and_addiction_treatment_center,health_care > specialized_medical_facility > abuse_and_addiction_treatment_center,Abuse and Addiction Treatment Center
academic_bookstore,academic_bookstore,shopping > specialty_store > books_music_and_video_store > bookstore > academic_bookstore,Academic Bookstore
acai_bowls,acai_bowls,food_and_drink > restaurant > special_diet_restaurant > acai_bowls,Acai Bowls
accommodation,lodging,lodging,Lodging
accountant,accountant,services_and_business > financial_service > accountant,Accountant
acne_treatment,acne_treatment,lifestyle_services > personal_or_beauty_service > acne_treatment,Acne Treatment
acoustical_consultant,acoustical_consultant,services_and_business > technical_service > acoustical_consultant,Acoustical Consultant
active_life,sports_and_recreation,sports_and_recreation,Sports and Recreation
acupuncture,acupuncture,health_care > outpatient_care_facility > complementary_and_alternative_medicine > acupuncture,Acupuncture
addiction_rehabilitation_center,addiction_rehabilitation_center,health_care > outpatient_care_facility > physical_medicine_and_rehabilitation > rehabilitation_center > addiction_rehabilitation_center,Addiction Rehabilitation Center
adoption_services,adoption_service,services_and_business > family_service > adoption_service,Adoption Service
adult_education,adult_education_center,education > place_of_learning > adult_education_center,Adult Education Center
adult_entertainment,adult_entertainment_venue,arts_and_entertainment > nightlife_venue > adult_entertainment_venue,Adult Entertainment Venue
adult_store,adult_store,shopping > specialty_store > adult_store,Adult Store
adventure_sports_center,adventure_sports_center,sports_and_recreation > sport_or_fitness_facility > adventure_sports_center,Adventure Sports Center
advertising_agency,advertising_agency,services_and_business > professional_service > advertising_agency,Advertising Agency
aerial_fitness_center,aerial_fitness_center,sports_and_recreation > sport_or_fitness_facility > fitness_studio > aerial_fitness_center,Aerial Fitness Center
aerial_tours,aerial_tour,travel_and_transportation > travel_service > tour_operator > aerial_tour,Aerial Tour
aesthetician,aesthetic_medicine,health_care > outpatient_care_facility > specialized_health_care > medical_skin_care > aesthetic_medicine,Aesthetic Medicine
afghan_restaurant,afghani_restaurant,food_and_drink > restaurant > asian_restaurant > central_asian_restaurant > afghani_restaurant,Afghani Restaurant
african_restaurant,african_restaurant,food_and_drink > restaurant > african_restaurant,African Restaurant
after_school_program,after_school_program,education > educational_service > after_school_program,After School Program
aggregate_supplier,aggregate_supplier,services_and_business > b2b_service > supplier_or_distributor > aggregate_supplier,Aggregate Supplier
agricultural_cooperatives,agricultural_cooperative,services_and_business > b2b_service > b2b_agriculture_service > agricultural_cooperative,Agricultural Cooperative
agricultural_engineering_service,agricultural_service,services_and_business > agricultural_service,Agricultural Service
agricultural_production,b2b_agriculture_service,services_and_business > b2b_service > b2b_agriculture_service,B2B Agriculture Service
agricultural_seed_store,agricultural_seed_store,shopping > specialty_store > farming_equipment_and_supply_store > agricultural_seed_store,Agricultural Seed Store
agricultural_service,agricultural_service,services_and_business > agricultural_service,Agricultural Service
agriculture,agriculture,services_and_business > b2b_service > b2b_agriculture_service > agriculture,Agriculture
agriculture_association,agriculture_association,services_and_business > agricultural_service > agriculture_association,Agriculture Association
agriturismo,agritourism,travel_and_transportation > travel_service > agritourism,Agritourism
air_duct_cleaning_service,air_duct_cleaning_service,services_and_business > home_service > air_duct_cleaning_service,Air Duct Cleaning Service
aircraft_dealer,aircraft_dealer,shopping > vehicle_dealer > aircraft_dealer,Aircraft Dealer
aircraft_manufacturer,aircraft_manufacturer,services_and_business > b2b_service > manufacturer > vehicle_manufacturer > aircraft_manufacturer,Aircraft Manufacturer
aircraft_parts_and_supplies,aircraft_parts_and_supplies,travel_and_transportation > air_transport_facility_or_service > aircraft_parts_and_supplies,Aircraft Parts and Supplies
aircraft_repair,aircraft_service,travel_and_transportation > vehicle_service > aircraft_service,Aircraft Service
airline,airline,travel_and_transportation > air_transport_facility_or_service > airline,Airline
airline_ticket_agency,airline_ticket_agency,travel_and_transportation > air_transport_facility_or_service > airline_ticket_agency,Airline Ticket Agency
airlines,airline,travel_and_transportation > air_transport_facility_or_service > airline,Airline
airport,airport,travel_and_transportation > air_transport_facility_or_service > airport,Airport
airport_lounge,airport_lounge,food_and_drink > alcoholic_beverage_venue > lounge > airport_lounge,Airport Lounge
airport_shuttles,airport_shuttle,travel_and_transportation > air_transport_facility_or_service > airport_shuttle,Airport Shuttle
airport_terminal,airport_terminal,travel_and_transportation > air_transport_facility_or_service > airport > airport_terminal,Airport Terminal
airsoft_fields,airsoft_field,sports_and_recreation > sport_or_fitness_facility > sport_field > airsoft_field,Airsoft Field
alcohol_and_drug_treatment_center,alcohol_and_drug_treatment_center,health_care > specialized_medical_facility > abuse_and_addiction_treatment_center > alcohol_and_drug_treatment_center,Alcohol and Drug Treatment Center
alcohol_and_drug_treatment_centers,alcohol_and_drug_treatment_center,health_care > specialized_medical_facility > abuse_and_addiction_treatment_center > alcohol_and_drug_treatment_center,Alcohol and Drug Treatment Center
allergist,allergy_and_immunology,health_care > outpatient_care_facility > specialized_health_care > internal_medicine > allergy_and_immunology,Allergy and Immunology
altering_and_remodeling_contractor,altering_and_remodeling_contractor,services_and_business > home_service > contractor > altering_and_remodeling_contractor,Altering and Remodeling Contractor
alternative_medicine,complementary_and_alternative_medicine,health_care > outpatient_care_facility > complementary_and_alternative_medicine,Complementary and Alternative Medicine
aluminum_supplier,aluminum_supplier,services_and_business > b2b_service > supplier_or_distributor > aluminum_supplier,Aluminum Supplier
amateur_sports_league,amateur_sport_league,sports_and_recreation > sport_league > amateur_sport_league,Amateur Sport League
amateur_sports_team,amateur_sport_team,sports_and_recreation > sport_team > amateur_sport_team,Amateur Sport Team
ambulance_and_ems_services,ambulance_or_ems_service,health_care > emergency_or_urgent_care_facility > ambulance_or_ems_service,Ambulance or EMS Service
american_football_field,american_football_field,sports_and_recreation > sport_or_fitness_facility > sport_field > american_football_field,American Football Field
american_restaurant,american_restaurant,food_and_drink > restaurant > north_american_restaurant > american_restaurant,American Restaurant
amusement_park,amusement_park,arts_and_entertainment > amusement_attraction > amusement_park,Amusement Park
anesthesiologist,anesthesiology,health_care > outpatient_care_facility > specialized_health_care > pain_management > anesthesiology,Anesthesiology
anglican_church,anglican_or_episcopal_place_of_worship,cultural_and_historic > place_of_worship > christian_place_of_worship > protestant_place_of_worship > anglican_or_episcopal_place_of_worship,Anglican or Episcopal Place of Worship
animal_assisted_therapy,animal_assisted_therapy,health_care > outpatient_care_facility > physical_medicine_and_rehabilitation > animal_assisted_therapy,Animal Assisted Therapy
animal_hospital,animal_hospital,lifestyle_services > animal_or_pet_service > veterinary_care > animal_hospital,Animal Hospital
animal_physical_therapy,animal_physical_therapy,lifestyle_services > animal_or_pet_service > veterinary_care > animal_physical_therapy,Animal Physical Therapy
animal_rescue_service,animal_rescue_service,lifestyle_services > animal_or_pet_service > animal_adoption_or_rescue > animal_rescue_service,Animal Rescue Service
animal_shelter,animal_shelter,lifestyle_services > animal_or_pet_service > animal_adoption_or_rescue > animal_shelter,Animal Shelter
animation_studio,animation_studio,services_and_business > media_service > media_news_company > animation_studio,Animation Studio
antenna_service,antenna_service,services_and_business > home_service > antenna_service,Antenna Service
antique_store,antique_store,shopping > second_hand_store > antique_store,Antique Store
apartment_agent,apartment_agent,services_and_business > real_estate_service > real_estate_agent > apartment_agent,Apartment Agent
apartments,apartment,services_and_business > housing_or_property_service > apartment,Apartment
apiaries_and_beekeepers,apiary_beekeeper,services_and_business > b2b_service > b2b_agriculture_service > apiary_beekeeper,Apiary Beekeeper
appellate_practice_lawyers,appellate_practice_lawyer,services_and_business > legal_service > attorney_or_law_firm > appellate_practice_lawyer,Appellate Practice Lawyer
appliance_manufacturer,appliance_manufacturer,services_and_business > b2b_service > manufacturer > appliance_manufacturer,Appliance Manufacturer
appliance_repair_service,appliance_repair_service,services_and_business > home_service > appliance_repair_service,Appliance Repair Service
appliance_store,appliance_store,shopping > specialty_store > hardware_home_and_garden_store > appliance_store,Appliance Store
appraisal_services,appraisal_service,services_and_business > financial_service > appraisal_service,Appraisal Service
aquarium,aquarium,arts_and_entertainment > animal_attraction > aquarium,Aquarium
aquarium_services,aquarium_service,lifestyle_services > animal_or_pet_service > pet_care_service > aquarium_service,Aquarium Service
aquatic_pet_store,aquatic_pet_store,shopping > specialty_store > animal_and_pet_store > pet_store > aquatic_pet_store,Aquatic Pet Store
arabian_restaurant,arabian_restaurant,food_and_drink > restaurant > middle_eastern_restaurant > arabian_restaurant,Arabian Restaurant
arcade,arcade,arts_and_entertainment > gaming_venue > arcade,Arcade
archaeological_services,archaeological_service,education > educational_service > archaeological_service,Archaeological Service
archery_range,archery_range,sports_and_recreation > sport_or_fitness_facility > shooting_range > archery_range,Archery Range
archery_shop,archery_store,shopping > specialty_store > sporting_goods_store > archery_store,Archery Store
architect,architect,services_and_business > design_service > architect,Architect
architectural_designer,architectural_designer,services_and_business > design_service > architectural_designer,Architectural Designer
architectural_tours,architectural_tour,travel_and_transportation > travel_service > tour_operator > architectural_tour,Architectural Tour
architecture,historic_site,cultural_and_historic > historic_site,Historic Site
architecture_schools,architecture_school,education > place_of_learning > college_university > architecture_school,Architecture School
argentine_restaurant,argentine_restaurant,food_and_drink > restaurant > latin_american_restaurant > south_american_restaurant > argentine_restaurant,Argentine Restaurant
armed_forces_branch,military_site,community_and_government > military_site,Military Site
armenian_restaurant,armenian_restaurant,food_and_drink > restaurant > middle_eastern_restaurant > armenian_restaurant,Armenian Restaurant
army_and_navy_store,army_and_navy_store,shopping > specialty_store > tactical_supply_store > army_and_navy_store,Army and Navy Store
aromatherapy,aromatherapy,health_care > outpatient_care_facility > complementary_and_alternative_medicine > aromatherapy,Aromatherapy
art_gallery,art_gallery,arts_and_entertainment > arts_and_crafts_space > art_gallery,Art Gallery
art_museum,art_museum,arts_and_entertainment > museum > art_museum,Art Museum
art_restoration,art_restoration_service,services_and_business > media_service > art_restoration_service,Art Restoration Service
art_restoration_service,art_restoration_service,services_and_business > media_service > art_restoration_service,Art Restoration Service
art_school,art_school,education > place_of_learning > specialty_school > art_school,Art School
art_space_rental,art_space_rental,services_and_business > rental_service > art_space_rental,Art Space Rental
art_supply_store,art_supply_store,shopping > specialty_store > arts_crafts_and_hobby_store > art_supply_store,Art Supply Store
art_tours,art_tour,travel_and_transportation > travel_service > tour_operator > art_tour,Art Tour
artificial_turf,artificial_turf,services_and_business > home_service > artificial_turf,Artificial Turf
arts_and_crafts,arts_crafts_and_hobby_store,shopping > specialty_store > arts_crafts_and_hobby_store,Arts Crafts and Hobby Store
arts_and_entertainment,arts_and_entertainment,arts_and_entertainment,Arts and Entertainment
asian_art_museum,asian_art_museum,arts_and_entertainment > museum > art_museum > asian_art_museum,Asian Art Museum
asian_fusion_restaurant,asian_fusion_restaurant,food_and_drink > restaurant > international_fusion_restaurant > asian_fusion_restaurant,Asian Fusion Restaurant
asian_grocery_store,asian_grocery_store,shopping > food_and_beverage_store > grocery_store > asian_grocery_store,Asian Grocery Store
asian_restaurant,asian_restaurant,food_and_drink > restaurant > asian_restaurant,Asian Restaurant
assisted_living_facility,assisted_living_facility,services_and_business > housing_or_property_service > senior_living_facility > assisted_living_facility,Assisted Living Facility
astrologer,astrological_advising,arts_and_entertainment > spiritual_advising > astrological_advising,Astrological Advising
atelier,atelier,shopping > specialty_store > arts_crafts_and_hobby_store > atelier,Atelier
atms,atm,services_and_business > financial_service > atm,ATM
attraction_farm,attraction_farm,arts_and_entertainment > rural_attraction > attraction_farm,Attraction Farm
attractions_and_activities,arts_and_entertainment,arts_and_entertainment,Arts and Entertainment
atv_recreation_park,atv_recreation_park,sports_and_recreation > sport_or_fitness_facility > atv_recreation_park,ATV Recreation Park
atv_rentals_and_tours,atv_rental_tour,sports_and_recreation > recreational_equipment_rental > atv_rental_tour,ATV Rental Tour
auction_house,auction_house,shopping > specialty_store > auction_house,Auction House
audio_visual_equipment_store,audio_visual_equipment_store,shopping > specialty_store > electronics_store > audio_visual_equipment_store,Audio Visual Equipment Store
audio_visual_production_and_design,b2b_audio_visual_production,services_and_business > b2b_service > b2b_media_service > b2b_audio_visual_production,B2B Audio Visual Production
audiologist,audiology,health_care > outpatient_care_facility > specialized_health_care > ear_nose_and_throat > audiology,Audiology
audiovisual_equipment_rental,audiovisual_equipment_rental,services_and_business > event_or_party_service > audiovisual_equipment_rental,Audiovisual Equipment Rental
auditorium,auditorium,arts_and_entertainment > event_venue > auditorium,Auditorium
australian_restaurant,australian_restaurant,food_and_drink > restaurant > pacific_rim_restaurant > australian_restaurant,Australian Restaurant
austrian_restaurant,austrian_restaurant,food_and_drink > restaurant > european_restaurant > central_european_restaurant > austrian_restaurant,Austrian Restaurant
auto_body_shop,auto_body_shop,travel_and_transportation > vehicle_service > automotive_service > auto_body_shop,Auto Body Shop
auto_company,auto_company,services_and_business > corporate_or_business_office > auto_company,Auto Company
auto_customization,auto_customization,travel_and_transportation > vehicle_service > automotive_service > auto_customization,Auto Customization
auto_detailing,auto_detailing,travel_and_transportation > vehicle_service > automotive_service > auto_detailing,Auto Detailing
auto_electrical_repair,auto_electrical_repair,travel_and_transportation > vehicle_service > automotive_service > automotive_repair > auto_electrical_repair,Auto Electrical Repair
auto_glass_service,auto_glass_service,travel_and_transportation > vehicle_service > automotive_service > auto_glass_service,Auto Glass Service
auto_insurance,auto_insurance,services_and_business > financial_service > insurance_agency > auto_insurance,Auto Insurance
auto_loan_provider,auto_loan_provider,services_and_business > financial_service > installment_loans > auto_loan_provider,Auto Loan Provider
auto_manufacturers_and_distributors,auto_manufacturer,services_and_business > b2b_service > manufacturer > vehicle_manufacturer > auto_manufacturer,Auto Manufacturer
auto_parts_and_supply_store,auto_parts_store,shopping > specialty_store > vehicle_parts_store > auto_parts_store,Auto Parts Store
auto_restoration_services,auto_restoration_service,travel_and_transportation > vehicle_service > automotive_service > auto_restoration_service,Auto Restoration Service
auto_security,auto_security,travel_and_transportation > vehicle_service > automotive_service > auto_security,Auto Security
auto_upholstery,auto_upholstery,travel_and_transportation > vehicle_service > automotive_service > auto_upholstery,Auto Upholstery
automation_services,automation_service,services_and_business > b2b_service > b2b_industrial_and_machine_service > automation_service,Automation Service
automobile_leasing,auto_leasing,shopping > vehicle_dealer > auto_dealer > auto_leasing,Auto Leasing
automobile_registration_service,automobile_registration_service,travel_and_transportation > vehicle_service > automotive_service > automobile_registration_service,Automobile Registration Service
automotive,automotive_service,travel_and_transportation > vehicle_service > automotive_service,Automotive Service
automotive_consultant,automotive_consultant,travel_and_transportation > vehicle_service > automotive_service > automotive_consultant,Automotive Consultant
automotive_dealer,vehicle_dealer,shopping > vehicle_dealer,Vehicle Dealer
automotive_parts_and_accessories,auto_parts_store,shopping > specialty_store > vehicle_parts_store > auto_parts_store,Auto Parts Store
automotive_repair,automotive_repair,travel_and_transportation > vehicle_service > automotive_service > automotive_repair,Automotive Repair
automotive_services_and_repair,automotive_service,travel_and_transportation > vehicle_service > automotive_service,Automotive Service
automotive_storage_facility,automotive_storage_facility,services_and_business > storage_facility > automotive_storage_facility,Automotive Storage Facility
automotive_wheel_polishing_service,automotive_wheel_polishing_service,travel_and_transportation > vehicle_service > automotive_service > automotive_wheel_polishing_service,Automotive Wheel Polishing Service
aviation_museum,aviation_museum,arts_and_entertainment > museum > aviation_museum,Aviation Museum
avionics_shop,avionics_shop,travel_and_transportation > air_transport_facility_or_service > aircraft_parts_and_supplies > avionics_shop,Avionics Shop
awning_supplier,awning_supplier,services_and_business > b2b_service > supplier_or_distributor > awning_supplier,Awning Supplier
axe_throwing,axe_throwing,sports_and_recreation > sport_or_fitness_facility > adventure_sport > axe_throwing,Axe Throwing
ayurveda,ayurveda,health_care > outpatient_care_facility > complementary_and_alternative_medicine > ayurveda,Ayurveda
azerbaijani_restaurant,azerbaijani_restaurant,food_and_drink > restaurant > middle_eastern_restaurant > azerbaijani_restaurant,Azerbaijani Restaurant
b2b_agriculture_and_food,b2b_agriculture_service,services_and_business > b2b_service > b2b_agriculture_service,B2B Agriculture Service
b2b_apparel,apparel_manufacturer,services_and_business > b2b_service > manufacturer > apparel_manufacturer,Apparel Manufacturer
b2b_autos_and_vehicles,vehicle_manufacturer,services_and_business > b2b_service > manufacturer > vehicle_manufacturer,Vehicle Manufacturer
b2b_cleaning_and_waste_management,b2b_cleaning_and_waste_management,services_and_business > b2b_service > b2b_environmental_service > b2b_cleaning_and_waste_management,B2B Cleaning and Waste Management
b2b_dairies,b2b_dairy,services_and_business > b2b_service > b2b_agriculture_service > b2b_dairy,B2B Dairy
b2b_electronic_equipment,electronic_equipment_supplier,services_and_business > b2b_service > supplier_or_distributor > electronic_equipment_supplier,Electronic Equipment Supplier
b2b_energy_and_mining,b2b_energy_and_utility_service,services_and_business > b2b_service > b2b_energy_and_utility_service,B2B Energy and Utility Service
b2b_equipment_maintenance_and_repair,b2b_equipment_maintenance_and_repair,services_and_business > b2b_service > b2b_industrial_and_machine_service > b2b_equipment_maintenance_and_repair,B2B Equipment Maintenance and Repair
b2b_farming,b2b_farming,services_and_business > b2b_service > b2b_agriculture_service > b2b_farming,B2B Farming
b2b_farms,b2b_farm,services_and_business > b2b_service > b2b_agriculture_service > b2b_farming > b2b_farm,B2B Farm
b2b_food_products,b2b_food_products,services_and_business > b2b_service > b2b_agriculture_service > b2b_food_products,B2B Food Products
b2b_forklift_dealers,forklift_dealer,shopping > vehicle_dealer > forklift_dealer,Forklift Dealer
b2b_furniture_and_housewares,furniture_manufacturer,services_and_business > b2b_service > manufacturer > furniture_manufacturer,Furniture Manufacturer
b2b_hardware,hardware_and_fastener_manufacturer,services_and_business > b2b_service > manufacturer > hardware_and_fastener_manufacturer,Hardware and Fastener Manufacturer
b2b_jewelers,jewelry_and_watches_manufacturer,services_and_business > b2b_service > manufacturer > jewelry_and_watches_manufacturer,Jewelry and Watches Manufacturer
b2b_machinery_and_tools,machinery_and_tool_manufacturer,services_and_business > b2b_service > manufacturer > machinery_and_tool_manufacturer,Machinery and Tool Manufacturer
b2b_medical_support_services,b2b_medical_support_service,services_and_business > b2b_service > b2b_medical_support_service,B2B Medical Support Service
b2b_oil_and_gas_extraction_and_services,b2b_oil_and_gas_extraction,services_and_business > b2b_service > b2b_energy_and_utility_service > b2b_oil_and_gas > b2b_oil_and_gas_extraction,B2B Oil and Gas Extraction
b2b_rubber_and_plastics,rubber_and_plastics_manufacturer,services_and_business > b2b_service > manufacturer > rubber_and_plastics_manufacturer,Rubber and Plastics Manufacturer
b2b_science_and_technology,b2b_science_and_technology_service,services_and_business > b2b_service > b2b_science_and_technology_service,B2B Science and Technology Service
b2b_scientific_equipment,b2b_scientific_equipment,services_and_business > b2b_service > b2b_science_and_technology_service > b2b_scientific_equipment,B2B Scientific Equipment
b2b_sporting_and_recreation_goods,sporting_goods_manufacturer,services_and_business > b2b_service > manufacturer > sporting_goods_manufacturer,Sporting Goods Manufacturer
b2b_storage_and_warehouses,b2b_storage,services_and_business > b2b_service > b2b_transportation_and_storage_service > b2b_storage,B2B Storage
b2b_textiles,textile_manufacturer,services_and_business > b2b_service > manufacturer > textile_manufacturer,Textile Manufacturer
b2b_tires,tires_manufacturer,services_and_business > b2b_service > manufacturer > vehicle_parts_manufacturer > tires_manufacturer,Tires Manufacturer
b2b_tractor_dealers,tractor_dealer,services_and_business > b2b_service > b2b_transportation_and_storage_service > truck_and_industrial_vehicle_services > tractor_dealer,Tractor Dealer
b2b_truck_equipment_parts_and_accessories,truck_parts_and_accessories,services_and_business > b2b_service > b2b_transportation_and_storage_service > truck_and_industrial_vehicle_services > truck_parts_and_accessories,Truck Parts and Accessories
baby_gear_and_furniture,baby_gear_and_nursery_store,shopping > fashion_and_apparel_store > baby_gear_and_nursery_store,Baby Gear and Nursery Store
back_shop,shopping,shopping,Shopping
backflow_services,backflow_service,services_and_business > home_service > plumbing > backflow_service,Backflow Service
background_check_services,b2b_background_check_service,services_and_business > b2b_service > b2b_office_and_professional_service > b2b_background_check_service,B2B Background Check Service
backpacking_area,backpacking_area,sports_and_recreation > recreational_trail_or_path > backpacking_area,Backpacking Area
badminton_court,badminton_court,sports_and_recreation > sport_or_fitness_facility > sport_court > badminton_court,Badminton Court
bagel_restaurant,bagel_shop,food_and_drink > casual_eatery > bagel_shop,Bagel Shop
bagel_shop,bagel_shop,food_and_drink > casual_eatery > bagel_shop,Bagel Shop
bags_luggage_company,bags_luggage_company,services_and_business > corporate_or_business_office > bags_luggage_company,Bags Luggage Company
baguettes,baguette_shop,food_and_drink > casual_eatery > bakery > baguette_shop,Baguette Shop
bail_bonds_service,bail_bonds_service,services_and_business > legal_service > bail_bonds_service,Bail Bonds Service
bakery,bakery,food_and_drink > casual_eatery > bakery,Bakery
balloon_ports,balloon_port,travel_and_transportation > air_transport_facility_or_service > airport > balloon_port,Balloon Port
balloon_services,balloon_service,services_and_business > event_or_party_service > balloon_service,Balloon Service
bangladeshi_restaurant,bangladeshi_restaurant,food_and_drink > restaurant > asian_restaurant > south_asian_restaurant > bangladeshi_restaurant,Bangladeshi Restaurant
bank_credit_union,bank_or_credit_union,services_and_business > financial_service > bank_or_credit_union,Bank or Credit Union
bank_equipment_service,bank_equipment_service,services_and_business > professional_service > bank_equipment_service,Bank Equipment Service
bankruptcy_law,bankruptcy_law,services_and_business > legal_service > attorney_or_law_firm > bankruptcy_law,Bankruptcy Law
banks,bank,services_and_business > financial_service > bank_or_credit_union > bank,Bank
baozi_restaurant,baozi_restaurant,food_and_drink > restaurant > asian_restaurant > east_asian_restaurant > chinese_restaurant > baozi_restaurant,Baozi Restaurant
baptist_church,baptist_place_of_worship,cultural_and_historic > place_of_worship > christian_place_of_worship > protestant_place_of_worship > baptist_place_of_worship,Baptist Place of Worship
bar,bar,food_and_drink > alcoholic_beverage_venue > bar,Bar
bar_and_grill_restaurant,bar_and_grill_restaurant,food_and_drink > restaurant > bar_and_grill_restaurant,Bar and Grill Restaurant
bar_crawl,bar_crawl,arts_and_entertainment > nightlife_venue > bar_crawl,Bar Crawl
barbecue_restaurant,barbecue_restaurant,food_and_drink > restaurant > meat_restaurant > barbecue_restaurant,Barbecue Restaurant
barber,barber,lifestyle_services > personal_or_beauty_service > barber,Barber
barre_classes,barre_class,sports_and_recreation > sport_or_fitness_facility > fitness_studio > barre_class,Barre Class
bartender,bartender,services_and_business > event_or_party_service > bartender,Bartender
bartending_school,bartending_school,education > place_of_learning > specialty_school > bartending_school,Bartending School
baseball_field,baseball_field,sports_and_recreation > sport_or_fitness_facility > sport_field > baseball_field,Baseball Field
baseball_stadium,baseball_stadium,arts_and_entertainment > stadium_arena > stadium > baseball_stadium,Baseball Stadium
basketball_court,basketball_court,sports_and_recreation > sport_or_fitness_facility > sport_court > basketball_court,Basketball Court
basketball_stadium,basketball_stadium,arts_and_entertainment > stadium_arena > stadium > basketball_stadium,Basketball Stadium
basque_restaurant,basque_restaurant,food_and_drink > restaurant > european_restaurant > iberian_restaurant > spanish_restaurant > basque_restaurant,Basque Restaurant
bathroom_fixture_stores,bathroom_fixture_store,shopping > specialty_store > hardware_home_and_garden_store > kitchen_and_bath_store > bathroom_fixture_store,Bathroom Fixture Store
bathroom_remodeling,bathroom_remodeling,services_and_business > home_service > bathroom_remodeling,Bathroom Remodeling
bathtub_and_sink_repairs,bathtub_and_sink_repair,services_and_business > home_service > bathtub_and_sink_repair,Bathtub and Sink Repair
battery_inverter_supplier,battery_inverter_supplier,services_and_business > b2b_service > supplier_or_distributor > battery_inverter_supplier,Battery Inverter Supplier
battery_store,battery_store,shopping > specialty_store > electronics_store > battery_store,Battery Store
batting_cage,batting_cage,sports_and_recreation > sport_or_fitness_facility > batting_cage,Batting Cage
bazaars,bazaar,shopping > market > bazaar,Bazaar
beach,beach,geographic_entities > land_feature > beach,Beach
beach_bar,beach_bar,food_and_drink > alcoholic_beverage_venue > bar > beach_bar,Beach Bar
beach_combing_area,beach_combing_area,geographic_entities > land_feature > beach > beach_combing_area,Beach Combing Area
beach_equipment_rentals,beach_equipment_rental,sports_and_recreation > recreational_equipment_rental > beach_equipment_rental,Beach Equipment Rental
beach_resort,beach_resort,lodging > resort > beach_resort,Beach Resort
beach_volleyball_club,beach_volleyball_club,sports_and_recreation > sport_or_recreation_club > beach_volleyball_club,Beach Volleyball Club
beach_volleyball_court,beach_volleyball_court,sports_and_recreation > sport_or_fitness_facility > sport_court > beach_volleyball_court,Beach Volleyball Court
bearing_supplier,bearing_supplier,services_and_business > b2b_service > supplier_or_distributor > bearing_supplier,Bearing Supplier
beauty_and_spa,personal_or_beauty_service,lifestyle_services > personal_or_beauty_service,Personal or Beauty Service
beauty_product_supplier,beauty_product_supplier,services_and_business > b2b_service > supplier_or_distributor > beauty_product_supplier,Beauty Product Supplier
beauty_salon,beauty_salon,lifestyle_services > personal_or_beauty_service > beauty_salon,Beauty Salon
bed_and_breakfast,bed_and_breakfast,lodging > bed_and_breakfast,Bed and Breakfast
bedding_and_bath_stores,bedding_and_bath_store,shopping > specialty_store > hardware_home_and_garden_store > bedding_and_bath_store,Bedding and Bath Store
beer_bar,beer_bar,food_and_drink > alcoholic_beverage_venue > bar > beer_bar,Beer Bar
beer_garden,beer_garden,food_and_drink > alcoholic_beverage_venue > beer_garden,Beer Garden
beer_tours,beer_tour,travel_and_transportation > travel_service > tour_operator > beer_tour,Beer Tour
beer_wine_and_spirits,beer_wine_spirits_store,shopping > food_and_beverage_store > beer_wine_spirits_store,Beer Wine Spirits Store
behavior_analyst,behavior_analysis,health_care > outpatient_care_facility > behavioral_or_mental_health_clinic > behavioral_or_crisis_service > behavior_analysis,Behavior Analysis
belarusian_restaurant,belarusian_restaurant,food_and_drink > restaurant > european_restaurant > eastern_european_restaurant > belarusian_restaurant,Belarusian Restaurant
belgian_restaurant,belgian_restaurant,food_and_drink > restaurant > european_restaurant > western_european_restaurant > belgian_restaurant,Belgian Restaurant
belizean_restaurant,belizean_restaurant,food_and_drink > restaurant > latin_american_restaurant > central_american_restaurant > belizean_restaurant,Belizean Restaurant
betting_center,betting_center,arts_and_entertainment > gaming_venue > betting_center,Betting Center
beverage_store,non_alcoholic_beverage_venue,food_and_drink > non_alcoholic_beverage_venue,Non-Alcoholic Beverage Venue
beverage_supplier,beverage_supplier,services_and_business > b2b_service > supplier_or_distributor > beverage_supplier,Beverage Supplier
bicycle_path,bike_path,sports_and_recreation > recreational_trail_or_path > bike_path,Bike Path
bicycle_sharing_location,bike_sharing_location,travel_and_transportation > ground_transport_facility_or_service > bikes_and_bike_service > bike_sharing_location,Bike Sharing Location
bicycle_shop,bike_store,shopping > specialty_store > sporting_goods_store > bike_store,Bike Store
bike_parking,bike_parking,travel_and_transportation > parking > bike_parking,Bike Parking
bike_rentals,bike_rental,sports_and_recreation > recreational_equipment_rental > bike_rental,Bike Rental
bike_repair_maintenance,bike_repair_maintenance,services_and_business > technical_service > bike_repair_maintenance,Bike Repair Maintenance
bike_sharing,bike_sharing_location,travel_and_transportation > ground_transport_facility_or_service > bikes_and_bike_service > bike_sharing_location,Bike Sharing Location
bike_tours,bike_tour,travel_and_transportation > travel_service > tour_operator > bike_tour,Bike Tour
billing_services,billing_service,services_and_business > professional_service > billing_service,Billing Service
bingo_hall,bingo_hall,arts_and_entertainment > gaming_venue > bingo_hall,Bingo Hall
biotechnology_company,biotechnology_company,services_and_business > corporate_or_business_office > biotechnology_company,Biotechnology Company
bird_shop,bird_store,shopping > specialty_store > animal_and_pet_store > pet_store > bird_store,Bird Store
bistro,bistro,food_and_drink > casual_eatery > bistro,Bistro
