legacy_primary_category,taxonomy_primary,taxonomy_hierarchy,taxonomy_display_name
tatar_restaurant,tatar_restaurant,food_and_drink > restaurant > european_restaurant > eastern_european_restaurant > russian_restaurant > tatar_restaurant,Tatar Restaurant
tattoo,tattoo,lifestyle_services > personal_or_beauty_service > body_modification > tattoo_and_piercing > tattoo,Tattoo
tattoo_and_piercing,tattoo_and_piercing,lifestyle_services > personal_or_beauty_service > body_modification > tattoo_and_piercing,Tattoo and Piercing
tattoo_removal,tattoo_removal,health_care > outpatient_care_facility > specialized_health_care > medical_skin_care > tattoo_removal,Tattoo Removal
tax_law,tax_law,services_and_business > legal_service > attorney_or_law_firm > tax_law,Tax Law
tax_office,tax_office,community_and_government > government_office > tax_office,Tax Office
tax_services,tax_service,services_and_business > financial_service > tax_service,Tax Service
taxi_rank,taxi_stand,travel_and_transportation > ground_transport_facility_or_service > taxi_or_ride_share_service > taxi_service > taxi_stand,Taxi Stand
taxi_service,taxi_service,travel_and_transportation > ground_transport_facility_or_service > taxi_or_ride_share_service > taxi_service,Taxi Service
taxidermist,taxidermist,services_and_business > technical_service > taxidermist,Taxidermist
tea_room,tea_room,food_and_drink > non_alcoholic_beverage_venue > tea_room,Tea Room
tea_wholesaler,tea_wholesaler,services_and_business > b2b_service > wholesaler > tea_wholesaler,Tea Wholesaler
team_building_activity,team_building_activity,services_and_business > event_or_party_service > team_building_activity,Team Building Activity
teeth_whitening,teeth_whitening,lifestyle_services > personal_or_beauty_service > teeth_whitening,Teeth Whitening
telecommunications,telecommunications_service,services_and_business > telecommunications_service,Telecommunications Service
telecommunications_company,telecommunications_company,services_and_business > corporate_or_business_office > telecommunications_company,Telecommunications Company
telemarketing_services,b2b_telemarketing_service,services_and_business > b2b_service > b2b_office_and_professional_service > b2b_advertising_and_marketing_service > b2b_telemarketing_service,B2B Telemarketing Service
telephone_services,telephone_service,services_and_business > technical_service > telephone_service,Telephone Service
television_service_providers,television_service_provider,services_and_business > home_service > television_service_provider,Television Service Provider
television_station,television_station,services_and_business > media_service > media_news_company > television_station,Television Station
temp_agency,temp_agency,services_and_business > professional_service > employment_agency > temp_agency,Temp Agency
temple,place_of_worship,cultural_and_historic > place_of_worship,Place of Worship
tenant_and_eviction_law,tenant_and_eviction_law,services_and_business > legal_service > tenant_and_eviction_law,Tenant and Eviction Law
tennis_court,tennis_court,sports_and_recreation > sport_or_fitness_facility > sport_court > tennis_court,Tennis Court
tennis_stadium,tennis_stadium,arts_and_entertainment > stadium_arena > stadium > tennis_stadium,Tennis Stadium
tent_house_supplier,tent_house_supplier,services_and_business > b2b_service > supplier_or_distributor > tent_house_supplier,Tent House Supplier
test_preparation,test_preparation,education > educational_service > test_preparation,Test Preparation
texmex_restaurant,texmex_restaurant,food_and_drink > restaurant > latin_american_restaurant > texmex_restaurant,Texmex Restaurant
textile_mill,textile_mill,services_and_business > b2b_service > manufacturer > mill > textile_mill,Textile Mill
textile_museum,textile_museum,arts_and_entertainment > museum > art_museum > textile_museum,Textile Museum
thai_restaurant,thai_restaurant,food_and_drink > restaurant > asian_restaurant > southeast_asian_restaurant > thai_restaurant,Thai Restaurant
theaters_and_performance_venues,performing_arts_venue,arts_and_entertainment > performing_arts_venue,Performing Arts Venue
theatre,theatre_venue,arts_and_entertainment > performing_arts_venue > theatre_venue,Theatre Venue
theatrical_productions,theatrical_production,services_and_business > media_service > theatrical_production,Theatrical Production
theme_restaurant,theme_restaurant,food_and_drink > restaurant > theme_restaurant,Theme Restaurant
thread_supplier,thread_supplier,services_and_business > b2b_service > supplier_or_distributor > thread_supplier,Thread Supplier
threading_service,threading_service,lifestyle_services > personal_or_beauty_service > hair_removal > threading_service,Threading Service
threads_and_yarns_wholesaler,threads_and_yarns_wholesaler,services_and_business > b2b_service > wholesaler > threads_and_yarns_wholesaler,Threads and Yarns Wholesaler
thrift_store,second_hand_store,shopping > second_hand_store,Second Hand Store
ticket_sales,ticket_office_or_booth,arts_and_entertainment > ticket_office_or_booth,Ticket Office or Booth
tiki_bar,tiki_bar,food_and_drink > alcoholic_beverage_venue > bar > tiki_bar,Tiki Bar
